n,title,source,source_sha256,body_words,sentences,avg_sentence_words,p90_sentence_words,long_sentences_pct,paragraphs,avg_paragraph_words,p90_paragraph_words,very_long_paragraphs_pct,h3_per_1000_words,abstract_terms_per_1000,nominalizations_per_1000,situated_names_per_1000,voice_marks_per_1000,narrative_paragraphs_pct,load_index,automatic_signal
N00,"N00 · METSI: ver, comprender, intervenir",N00-content-canonical/source/N00_como_leer_metsi-content-canonical-v1.md,6e9577ecb4c1aa46eca30eba79cc0999b73f1264fa20058300765c32449d2d3f,13015,913,14.26,25,4.71,277,46.99,74,0.0,3.46,58.24,83.75,4.61,6.92,40.07,3,BAJA
N01,N01 · Metodología sin recetas: intervenir cuando el problema todavía no está claro,N01-content-canonical/source/N01_metodologia_sin_recetas-content-canonical-v1.md,68b633b82f2f2e00a765b3980f926b3769e1403f4751b8943aa83aec07a3f210,6838,457,14.96,25,5.03,161,42.47,69,0.0,0.73,72.68,82.63,0.0,4.97,39.13,2,BAJA
N02,N02 · El sistema de información no cabe en una aplicación,N02-content-canonical/source/N02_el_sistema_no_cabe_en_una_aplicacion-content-canonical-v1.md,5a095ac3b2639473d45bdf8908d866f12a303a7d3de57751f74968814f7c7dc9,7066,451,15.67,27,6.21,163,43.35,71,0.0,1.27,65.38,83.5,0.0,11.46,33.13,3,BAJA
N03,"N03 · Fronteras, retroalimentación y efectos no intencionales",N03-content-canonical/source/N03_fronteras_retroalimentacion_y_efectos-content-canonical-v1.md,d56ca44093496eee434cf8d85348a12723c06a52931609b6dd16dc32311e0d52,8341,555,15.03,25,5.95,243,34.33,68,0.0,3.6,55.27,87.04,0.84,7.67,31.28,3,BAJA
N04,"N04 · Hechos, síntomas, relatos, hipótesis y decisiones",N04-content-canonical/source/N04_hechos_sintomas_relatos_hipotesis_y_decisiones-content-canonical-v1.md,bb7b43cc899a5ddc4b1f376ccb9477ed765009d19f765e56a9e67413732a836e,9237,612,15.09,26,6.86,362,25.52,63,0.0,2.6,57.38,93.65,2.17,19.49,25.41,3,BAJA
N05,"N05 · Actores, afectados, poder y perspectivas",N05-content-canonical/source/N05_actores_afectados_poder_y_perspectivas-content-canonical-v1.md,8c676ca957f38da1eef45a2432de5b8686530d6e480da7f3301b36f98523fc1b,7540,526,14.33,24,4.75,172,43.84,69,0.0,2.92,61.27,101.33,3.18,10.61,41.86,3,BAJA
N06,N06 · Discovery como estrategia de reducción de incertidumbre,N06-content-canonical/source/N06_discovery_como_reduccion_de_incertidumbre-content-canonical-v1.md,d6e40e6a89e388211aea03375c09604e7994083c2e9408ff5cafc0cf03bb350b,7608,503,15.13,24,3.78,249,30.55,67,0.0,3.55,70.85,98.32,0.0,9.33,29.32,3,BAJA
N07,N07 · Entrevistar no es pedir requisitos,N07-content-canonical/source/N07_entrevistar_no_es_pedir_requisitos-content-canonical-v1.md,db53465220fd622d9ade70257c5b70c74f4670796505c00cc3fb4682144b691a,8845,605,14.62,25,5.29,302,29.29,70,0.0,4.18,51.89,86.38,2.04,26.79,35.76,3,BAJA
N08,N08 · Observar el trabajo invisible,N08-content-canonical/source/N08_observar_el_trabajo_invisible-content-canonical-v1.md,86aa05d0749e10fa21f0054098a99c3d20c377ceac6607f72eb727ed5bb8f61f,7262,528,13.75,24,3.79,177,41.03,72,0.0,2.62,54.39,89.51,0.55,12.53,40.68,2,BAJA
N09,"N09 · Experiencia, accesibilidad y adopción no son decoración",N09-content-canonical/source/N09_experiencia_accesibilidad_y_adopcion-content-canonical-v1.md,bf163a64d59f97d75328615901020b45ee730b7ab779c5a267db7a524d3017f6,7858,541,14.52,24,4.81,268,29.32,72,0.0,3.31,53.7,104.73,1.53,11.2,22.39,3,BAJA
