document,current_source,baseline_source,source_sha256,word_ratio,top_term_coverage,reference_entries,reference_coverage,reference_min_similarity,heading_ratio,readability_signal,overall
N00,N00-content-canonical/source/N00_como_leer_metsi-content-canonical-v1.md,N00-v3-final/source/N00_como_leer_metsi.md,6e9577ecb4c1aa46eca30eba79cc0999b73f1264fa20058300765c32449d2d3f,0.998,1.0,14,1.0,1.0,1.0,BAJA,pass
N01,N01-content-canonical/source/N01_metodologia_sin_recetas-content-canonical-v1.md,N01-v18-final/source/N01_metodologia_sin_recetas-content-final.md,68b633b82f2f2e00a765b3980f926b3769e1403f4751b8943aa83aec07a3f210,1.001,1.0,15,1.0,1.0,1.0,BAJA,pass
N02,N02-content-canonical/source/N02_el_sistema_no_cabe_en_una_aplicacion-content-canonical-v1.md,N02-v15-final/source/N02_el_sistema_no_cabe_en_una_aplicacion-content-final-v2.md,5a095ac3b2639473d45bdf8908d866f12a303a7d3de57751f74968814f7c7dc9,1.0,1.0,18,1.0,0.932,1.0,BAJA,pass
N03,N03-content-canonical/source/N03_fronteras_retroalimentacion_y_efectos-content-canonical-v1.md,N03-v10-final/source/N03_fronteras_retroalimentacion_y_efectos-content-final-v2.md,d56ca44093496eee434cf8d85348a12723c06a52931609b6dd16dc32311e0d52,1.001,1.0,12,1.0,1.0,1.0,BAJA,pass
N04,N04-content-canonical/source/N04_hechos_sintomas_relatos_hipotesis_y_decisiones-content-canonical-v1.md,N04-v9-final/source/N04_hechos_sintomas_relatos_hipotesis_y_decisiones-content-final.md,bb7b43cc899a5ddc4b1f376ccb9477ed765009d19f765e56a9e67413732a836e,1.0,1.0,10,1.0,1.0,1.0,BAJA,pass
N05,N05-content-canonical/source/N05_actores_afectados_poder_y_perspectivas-content-canonical-v1.md,N05-v10-final/source/N05_actores_afectados_poder_y_perspectivas-content-final-v2.md,8c676ca957f38da1eef45a2432de5b8686530d6e480da7f3301b36f98523fc1b,1.0,1.0,12,1.0,1.0,1.0,BAJA,pass
N06,N06-content-canonical/source/N06_discovery_como_reduccion_de_incertidumbre-content-canonical-v1.md,N06-v10-final/source/N06_discovery_como_reduccion_de_incertidumbre-content-final-v2.md,d6e40e6a89e388211aea03375c09604e7994083c2e9408ff5cafc0cf03bb350b,1.001,1.0,11,1.0,1.0,1.0,BAJA,pass
N07,N07-content-canonical/source/N07_entrevistar_no_es_pedir_requisitos-content-canonical-v1.md,N07-v10-final/source/N07_entrevistar_no_es_pedir_requisitos-content-final.md,db53465220fd622d9ade70257c5b70c74f4670796505c00cc3fb4682144b691a,1.0,1.0,11,1.0,1.0,1.0,BAJA,pass
N08,N08-content-canonical/source/N08_observar_el_trabajo_invisible-content-canonical-v1.md,N08-v10-final/source/N08_observar_el_trabajo_invisible-content-final-v2.md,86aa05d0749e10fa21f0054098a99c3d20c377ceac6607f72eb727ed5bb8f61f,1.0,1.0,13,1.0,1.0,1.0,BAJA,pass
N09,N09-content-canonical/source/N09_experiencia_accesibilidad_y_adopcion-content-canonical-v1.md,N09-v10-final/source/N09_experiencia_accesibilidad_y_adopcion-content-final-v2.md,bf163a64d59f97d75328615901020b45ee730b7ab779c5a267db7a524d3017f6,1.0,1.0,16,1.0,1.0,1.0,BAJA,pass
